Recording timestamp [ms]	Sensor	Project name	Participant name	Recording name	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	AOI hit [Question 1 – Treemap - answers]	AOI hit [Question 1 – Treemap - computer]	AOI hit [Question 1 – Treemap - question]	AOI hit [Question 1 – Treemap - search_portal]	AOI hit [Question 1 – Treemap - socialnetwork]	AOI hit [Question 1 – Treemap - software]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
0		MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2	RecordingStart																																																	0	0	0	0	0	0										
10	Mouse	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																																																		0	0	0	0	0	0									-783.0	722.0
26	Mouse	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																																																		0	0	0	0	0	0									-801.0	718.0
42	Mouse	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																																																		0	0	0	0	0	0									-821.0	716.0
58	Mouse	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																																																		0	0	0	0	0	0									-846.0	715.0
74	Mouse	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																																																		0	0	0	0	0	0									-860.0	714.0
90	Mouse	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																																																		0	0	0	0	0	0									-884.0	711.0
101		MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2	Eye tracker TTL in	255																																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
101	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
106	Mouse	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																																											EyesNotFound	183.0	1.0					0	0	0	0	0	0									-905.0	709.0
110	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
118	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
122	Mouse	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																																											EyesNotFound	183.0	1.0					0	0	0	0	0	0									-911.0	708.0
126	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
135	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
143	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
151	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
160	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
168	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
176	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
185	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
193	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
201	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
210	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
218	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
226	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
235	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
243	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
251	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
260	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
268	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
276	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
285	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			933.0	989.0	1031.0	977.0	836.0	1002.0	0.08339	0.26356	-0.96103	-0.12035	0.27061	-0.95514	4.03	4.21	Valid	Valid	235.4	117.1	553.0	299.8	118.4	554.4	283.4	268.7	230.0	275.5															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
293	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			932.0	991.0	1032.0	976.0	833.0	1005.0	0.08405	0.26314	-0.96109	-0.12191	0.27192	-0.95457	4.03	4.21	Valid	Valid	235.4	117.1	552.9	299.8	118.4	554.4	283.8	268.5	229.0	276.4															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
301	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			931.0	992.0	1029.0	976.0	832.0	1008.0	0.08275	0.26275	-0.96131	-0.12212	0.2732	-0.95417	4.03	4.21	Valid	Valid	235.4	117.2	552.8	299.8	118.5	554.4	283.0	268.3	228.9	277.2															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
310	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			932.0	993.0	1032.0	977.0	833.0	1010.0	0.08406	0.2631	-0.9611	-0.12194	0.27388	-0.954	4.03	4.21	Valid	Valid	235.4	117.2	552.8	299.8	118.5	554.3	283.8	268.6	228.9	277.6															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
318	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			933.0	991.0	1035.0	977.0	832.0	1005.0	0.08537	0.26307	-0.96099	-0.12237	0.27166	-0.95458	4.03	4.21	Valid	Valid	235.4	117.3	552.7	299.8	118.6	554.2	284.5	268.6	228.7	276.3															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
326	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			931.0	991.0	1032.0	978.0	830.0	1004.0	0.08418	0.26381	-0.96089	-0.12301	0.27138	-0.95458	4.02	4.21	Valid	Valid	235.4	117.3	552.8	299.8	118.6	554.2	283.8	269.1	228.4	276.2															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
335	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			930.0	991.0	1029.0	977.0	831.0	1004.0	0.08281	0.26317	-0.96119	-0.12284	0.2712	-0.95465	4.02	4.21	Valid	Valid	235.4	117.4	552.7	299.8	118.7	554.1	283.0	268.7	228.5	276.1															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
343	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			931.0	992.0	1032.0	976.0	829.0	1009.0	0.08437	0.26234	-0.96128	-0.12369	0.27316	-0.95398	4.02	4.2	Valid	Valid	235.4	117.5	552.6	299.8	118.8	554.0	283.9	268.3	227.9	277.4															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
351	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			934.0	992.0	1034.0	978.0	834.0	1006.0	0.085	0.26354	-0.9609	-0.12137	0.27212	-0.95458	4.02	4.2	Valid	Valid	235.4	117.5	552.5	299.8	118.9	553.9	284.3	269.1	229.3	276.8															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
360	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			932.0	991.0	1032.0	979.0	831.0	1004.0	0.08425	0.26373	-0.96091	-0.12257	0.27084	-0.95479	4.02	4.2	Valid	Valid	235.4	117.6	552.3	299.7	118.9	553.9	283.8	269.2	228.6	276.0															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
368	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			930.0	990.0	1029.0	977.0	830.0	1004.0	0.08305	0.26276	-0.96128	-0.12314	0.27094	-0.95469	4.02	4.2	Valid	Valid	235.4	117.7	552.3	299.7	119.0	553.8	283.1	268.6	228.3	276.1															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
376	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			932.0	990.0	1032.0	977.0	831.0	1003.0	0.0845	0.26257	-0.96121	-0.12271	0.2703	-0.95493	4.02	4.2	Valid	Valid	235.4	117.7	552.2	299.7	119.0	553.7	283.9	268.5	228.6	275.7															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
385	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			932.0	989.0	1034.0	974.0	831.0	1004.0	0.08515	0.26153	-0.96143	-0.12263	0.27088	-0.95477	4.02	4.19	Valid	Valid	235.4	117.7	552.2	299.7	119.0	553.7	284.3	267.9	228.6	276.1															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
393	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			932.0	989.0	1034.0	974.0	831.0	1004.0	0.08532	0.26144	-0.96144	-0.12284	0.27077	-0.95477	4.02	4.19	Valid	Valid	235.3	117.7	552.2	299.7	119.1	553.6	284.4	267.9	228.5	276.1															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
401	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			932.0	989.0	1034.0	974.0	830.0	1004.0	0.08522	0.26133	-0.96148	-0.12316	0.27087	-0.9547	4.01	4.19	Valid	Valid	235.3	117.7	552.2	299.7	119.1	553.6	284.3	267.8	228.3	276.1															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
410	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			933.0	991.0	1035.0	975.0	830.0	1006.0	0.08586	0.26202	-0.96124	-0.12308	0.27189	-0.95442	4.02	4.19	Valid	Valid	235.3	117.7	552.2	299.7	119.1	553.6	284.7	268.2	228.3	276.8															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
418	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			934.0	991.0	1036.0	975.0	832.0	1007.0	0.08609	0.26171	-0.9613	-0.12228	0.2722	-0.95444	4.02	4.19	Valid	Valid	235.3	117.7	552.2	299.7	119.1	553.5	284.8	268.0	228.8	276.9															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
426	Eye Tracker	MiniVLAT	ParticipantD2	Recording32	277703	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	4.5	1.2	0.7	0.45	0.13	0.06	17	5	2			934.0	992.0	1035.0	976.0	833.0	1007.0	0.0857	0.26231	-0.96117	-0.12175	0.27223	-0.9545	4.01	4.19	Valid	Valid	235.3	117.7	552.2	299.7	119.1	553.6	284.5	268.4	229.1	276.9															Fixation	342.0	1.0	933.0	989.0			0	0	0	0	0	0										
